ord,statn,state,county,demv00,repv00,totv00,demsh00,repsh00,demv16,repv16,totv16,demsh16,repsh16,demv20,repv20,totv20,demsh20,repsh20,rep2sh00,rep2sh16,rep2sh20,tot2pty00,tot2pty16,tot2pty20
2,1,ALABAMA,AUTAUGA,4942,11993,17208,28.71920037192%,69.6943282194328%,5936,18172,24973,23.7696712449445%,72.7665879149482%,7503,19838,27770,27.0183651422398%,71.4368023046453%,0.708178328904635,0.753774680603949,0.725576972312644,16935,24108,27341
3,1,ALABAMA,BALDWIN,13997,40872,56480,24.782223796034%,72.3654390934844%,18458,72883,95215,19.3856010082445%,76.5457123352413%,24578,83544,109679,22.409029987509%,76.1713728243328%,0.744901492646121,0.797922072234812,0.77268271027173,54869,91341,108122
4,1,ALABAMA,BARBOUR,5188,5096,10395,49.9086099086099%,49.023569023569%,4871,5454,10469,46.5278441111854%,52.0966663482663%,4816,5622,10518,45.7881726563986%,53.4512264689104%,0.495527032283158,0.528232445520581,0.538608928913585,10284,10325,10438
5,1,ALABAMA,BIBB,2710,4273,7101,38.1636389240952%,60.174623292494%,1874,6738,8819,21.2495747817213%,76.4032203197642%,1986,7525,9595,20.6982803543512%,78.4262636789995%,0.611914649863955,0.782396655829076,0.791189149405951,6983,8612,9511
6,1,ALABAMA,BLOUNT,4977,12667,17973,27.6915373059589%,70.4779391309186%,2156,22859,25588,8.42582460528373%,89.3348444583399%,2640,24711,27588,9.56937799043062%,89.5715528490648%,0.717921106325096,0.913811712972217,0.903477020949874,17644,25015,27351
7,1,ALABAMA,BULLOCK,3395,1433,4904,69.2292006525286%,29.221044045677%,3530,1140,4710,74.9469214437367%,24.203821656051%,3446,1146,4613,74.7019293301539%,24.8428354649902%,0.296810273405137,0.244111349036403,0.249564459930314,4828,4670,4592
8,1,ALABAMA,BUTLER,3606,4127,7803,46.2129950019223%,52.8899141355889%,3726,4901,8732,42.6706367384334%,56.1268896014659%,3965,5458,9488,41.789629005059%,57.5252951096121%,0.533686796844692,0.568100150689695,0.579221054865754,7733,8627,9423
9,1,ALABAMA,CALHOUN,15781,22306,38909,40.5587396232234%,57.3286386183145%,13242,32865,47864,27.6658866789236%,68.6632960053485%,15216,35101,50983,29.8452425318243%,68.8484396759704%,0.585659148790926,0.712798490467825,0.69759723353936,38087,46107,50317
10,1,ALABAMA,CHAMBERS,5616,6037,11834,47.4564813249958%,51.0140273787392%,5784,7843,13900,41.6115107913669%,56.4244604316547%,6365,8753,15284,41.6448573671814%,57.2690395184507%,0.518064017849481,0.575548543333089,0.578978700886361,11653,13627,15118
11,1,ALABAMA,CHEROKEE,3497,4154,7823,44.7015211555669%,53.0998338233414%,1547,8953,10733,14.4134911022081%,83.4156340259014%,1624,10583,12301,13.2021786846598%,86.0336558003414%,0.542935563978565,0.852666666666667,0.866961579421643,7651,10500,12207
12,1,ALABAMA,CHILTON,4806,10066,15092,31.8446859263186%,66.6975881261596%,2911,15081,18369,15.8473515161413%,82.1002776416789%,3073,16085,19310,15.9140341791818%,83.2988089073019%,0.67684238838085,0.838205869275233,0.839597035181125,14872,17992,19158
13,1,ALABAMA,CHOCTAW,3707,3600,7374,50.2712232167074%,48.820179007323%,3109,4106,7292,42.6357652221613%,56.3082830499177%,3127,4296,7464,41.8944265809218%,57.556270096463%,0.492678253729301,0.569092169092169,0.578741748619157,7307,7215,7423
14,1,ALABAMA,CLARKE,4679,5988,10752,43.5174851190476%,55.6919642857143%,5749,7140,13031,44.1178727649451%,54.7924180799632%,5755,7324,13135,43.8142367719833%,55.7594213932242%,0.561357457579451,0.553960741717744,0.55998164997324,10667,12889,13079
15,1,ALABAMA,CLAY,2045,3719,5883,34.7611762706102%,63.2160462349142%,1237,5245,6624,18.6745169082126%,79.1817632850241%,1267,5601,6930,18.2828282828283%,80.8225108225108%,0.645211658570437,0.809163838321506,0.815521258008154,5764,6482,6868
16,1,ALABAMA,CLEBURNE,1664,3333,5092,32.6787117046347%,65.4556166535742%,684,5764,6593,10.3746397694525%,87.4260579402396%,675,6484,7227,9.33997509339975%,89.7191088971911%,0.667000200120072,0.893920595533499,0.90571308842017,4997,6448,7159
17,1,ALABAMA,COFFEE,5220,9938,15434,33.8214331994298%,64.3903071141635%,4221,15875,20767,20.3255164443588%,76.4433957721385%,5076,16899,22275,22.7878787878788%,75.8653198653199%,0.655627391476448,0.789958200636943,0.76901023890785,15158,20096,21975
18,1,ALABAMA,COLBERT,10543,10518,21532,48.9643321567899%,48.8482258963403%,7312,16746,24915,29.3477824603652%,67.212522576761%,8343,19203,27886,29.9182385426379%,68.8625116545937%,0.499406485921846,0.696067836062848,0.697124809409715,21061,24058,27546
19,1,ALABAMA,CONECUH,2783,2699,5551,50.1351107908485%,48.6218699333453%,3080,3420,6585,46.7729688686409%,51.9362186788155%,2966,3442,6441,46.0487501940692%,53.4389070020183%,0.492338562568406,0.526153846153846,0.537141073657928,5482,6500,6408
20,1,ALABAMA,COOSA,2104,2382,4567,46.069629954018%,52.1567768776002%,1782,3381,5252,33.9299314546839%,64.3754760091394%,1796,3631,5479,32.7797043256069%,66.2712173754335%,0.530985287561302,0.654851830331203,0.669062096922793,4486,5163,5427
21,1,ALABAMA,COVINGTON,4440,8961,13613,32.615881877617%,65.8267832219202%,2387,13267,15940,14.9749058971142%,83.2308657465496%,2721,14586,17430,15.6110154905336%,83.6833046471601%,0.668681441683456,0.847515012137473,0.842780377881782,13401,15654,17307
22,1,ALABAMA,CRENSHAW,1934,2793,4795,40.3336809176225%,58.2481751824818%,1664,4513,6267,26.5517791606829%,72.0121270145205%,1700,4864,6617,25.6914009369805%,73.5076318573372%,0.590861011212185,0.730613566456209,0.741011578305911,4727,6177,6564
23,1,ALABAMA,CULLMAN,9758,19157,29525,33.0499576629975%,64.8839966130398%,3798,32989,37873,10.028252316954%,87.1042695323846%,4478,36880,41851,10.6998638025376%,88.1221476189338%,0.662528099602283,0.896757006551227,0.891725905508003,28915,36787,41358
24,1,ALABAMA,DALE,4906,10593,15806,31.0388460078451%,67.0188535998988%,4413,13808,18749,23.5372553202837%,73.6465944850392%,5170,14303,19738,26.1931300030398%,72.4642820954504%,0.683463449254791,0.75780692607431,0.734504185282186,15499,18221,19473
25,1,ALABAMA,DALLAS,10967,7360,18464,59.3966637781629%,39.8613518197574%,12836,5789,18792,68.3056619838229%,30.8056619838229%,12230,5524,17864,68.46171070309%,30.922525750112%,0.401593277677743,0.310818791946309,0.31114115128985,18327,18625,17754
26,1,ALABAMA,DEKALB,7056,12827,20285,34.7843233916687%,63.2339166872073%,3622,21405,25826,14.0246263455433%,82.8815921939131%,4281,24767,29356,14.5830494617795%,84.3677612753781%,0.645123975255243,0.855276301594278,0.852623244285321,19883,25027,29048
27,1,ALABAMA,ELMORE,6652,16777,23804,27.9448832129054%,70.4797513023021%,8443,27634,37260,22.6596886741814%,74.1653247450349%,10367,30164,41030,25.2668778942237%,73.5169388252498%,0.716078364420163,0.765972780441833,0.744220473218031,23429,36077,40531
28,1,ALABAMA,ESCAMBIA,4523,6975,11660,38.7907375643225%,59.819897084048%,4605,9935,14845,31.020545638262%,66.9248905355339%,4918,10869,15910,30.9113764927718%,68.3155248271527%,0.606627239519916,0.683287482806052,0.68847786153164,11498,14540,15787
29,1,ALABAMA,ETOWAH,17433,21087,39348,44.3046660567246%,53.5910338517841%,10442,32353,44164,23.6436916945929%,73.2564985055702%,11567,35528,47728,24.2352497485753%,74.4384847468991%,0.547429906542056,0.755999532655684,0.754390062639346,38520,42795,47095
30,1,ALABAMA,FAYETTE,3064,4582,7808,39.2418032786885%,58.6834016393443%,1362,6712,8249,16.5110922536065%,81.3674384773912%,1395,7300,8766,15.9137577002053%,83.2762947752681%,0.599267590897201,0.831310378994303,0.839562967222542,7646,8074,8695
31,1,ALABAMA,FRANKLIN,4793,6119,11103,43.1685130145006%,55.1112311987751%,2197,9466,12040,18.2475083056478%,78.6212624584718%,2086,10376,12578,16.5845126411194%,82.4932421688663%,0.560758797653959,0.811626511189231,0.832611137859092,10912,11663,12462
32,1,ALABAMA,GENEVA,2769,6588,9559,28.9674652160268%,68.9193430275133%,1525,9994,11758,12.9698928389182%,84.997448545671%,1595,10848,12545,12.7142287764049%,86.4726982861698%,0.704071817890349,0.867610035593367,0.871815478582335,9357,11519,12443
33,1,ALABAMA,GREENE,3504,850,4396,79.7088262056415%,19.3357597816197%,4013,838,4880,82.233606557377%,17.172131147541%,3884,875,4775,81.3403141361257%,18.3246073298429%,0.195222783647221,0.172747887033601,0.183862155915108,4354,4851,4759
34,1,ALABAMA,HALE,4652,2984,7731,60.1733281593584%,38.5978528004139%,4775,3173,8040,59.3905472636816%,39.4651741293532%,4663,3192,7900,59.0253164556962%,40.4050632911392%,0.390780513357779,0.399219929542023,0.406365372374284,7636,7948,7855
35,1,ALABAMA,HENRY,2782,4054,6932,40.132717830352%,58.4824004616272%,2292,5632,8072,28.394449950446%,69.7720515361744%,2606,6607,9298,28.0275328027533%,71.0582921058292%,0.593036863662961,0.710752145381121,0.71713882557256,6836,7924,9213
36,1,ALABAMA,HOUSTON,9412,22150,32057,29.3602021399382%,69.0956733318776%,10664,30728,42639,25.0099674007364%,72.0654799596613%,12917,32618,46173,27.9752236155329%,70.6430164814935%,0.701793295735378,0.742365674526478,0.716328099264302,31562,41392,45535
